index,City,State,lat,lon,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,Unemployment,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Rent,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson,Crime Rate per 1000,Crime Rating,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Air Quality Index,Diversity Index,Nearest
196,Lansing,MI,42.7142,-84.5601,161974,78359,83585,10.4,61.0,16.7,0.5,3.6,0.0,27649.6,4536.3,14803.0,2128.0,1793.6,2483.3,78339,705.5,78.6,15.9,4.2,0.1,2752.9,1620.0,1795.3,451.3,1155.2,77.9,9.8,3.7,3.2,1.4,2.4,18.2,962,2020,8294,70,1,13,11,45,441,52,353,36,3,61.61,High,182,164,18,0,0,0,0,90,50,36,0,3,138,0,41,0,Good,0.5878771478950197,"195,178,193,102,78"
197,Muskegon,MI,43.2281,-86.2563,127755,63459,64278,5.7,68.6,19.9,0.5,0.4,0.0,26864.5,3909.7,13639.8,1843.2,1180.3,1622.7,53733,554.9,83.4,9.2,3.9,0.1,1249.9,1052.7,992.9,340.1,1129.3,79.3,11.9,0.6,1.2,0.9,2.5,18.7,875,2020,37178,308,8,27,46,227,1293,252,911,130,11,43.06,High,124,106,14,4,0,0,0,143,64,39,0,0,124,0,0,0,Good,0.4865164246520658,"198,406,414,199,185"
198,Muskegon,MI,43.2281,-86.2563,127755,63459,64278,5.7,68.6,19.9,0.5,0.4,0.0,26864.5,3909.7,13639.8,1843.2,1180.3,1622.7,53733,554.9,83.4,9.2,3.9,0.1,1249.9,1052.7,992.9,340.1,1129.3,79.3,11.9,0.6,1.2,0.9,2.5,18.7,875,2020,17937,45,0,11,6,28,494,56,417,21,0,30.05,Medium,124,106,14,4,0,0,0,143,64,39,0,0,124,0,0,0,Good,0.4865164246520658,"197,414,406,407,199"
230,Lenoir,NC,35.9096,-81.5247,46602,22536,24060,4.1,88.7,5.4,0.3,0.3,0.0,21071.1,3819.7,11683.4,2006.8,269.9,340.8,19164,118.8,76.3,13.6,6.2,0.0,396.4,283.6,330.9,183.4,368.9,80.0,10.1,0.1,0.6,1.7,2.9,21.7,711,2020,17904,78,0,17,13,48,799,234,476,89,3,48.98,High,274,250,24,0,0,0,0,94,49,38,0,0,153,0,120,1,Good,0.20862021913692846,"231,232,5,155,284"
231,Lenoir,NC,35.9096,-81.5247,46602,22536,24060,4.1,88.7,5.4,0.3,0.3,0.0,21071.1,3819.7,11683.4,2006.8,269.9,340.8,19164,118.8,76.3,13.6,6.2,0.0,396.4,283.6,330.9,183.4,368.9,80.0,10.1,0.1,0.6,1.7,2.9,21.7,791,2020,17904,78,0,17,13,48,799,234,476,89,3,48.98,High,274,250,24,0,0,0,0,94,49,38,0,0,153,0,120,1,Good,0.20862021913692846,"230,232,5,155,284"
238,Lincoln,NE,40.809,-96.6788,281743,140457,141232,6.3,82.2,3.3,0.3,3.6,0.0,29049.7,3713.3,14717.9,1727.0,1889.9,2312.9,153836,434.6,74.6,15.3,3.0,0.1,5111.5,2001.3,2849.1,845.6,1313.8,78.6,6.8,0.9,2.7,1.6,2.5,16.2,940,2020,291128,1115,5,323,166,621,8008,988,6566,454,0,31.34,Medium,244,237,7,0,0,0,0,74,45,32,0,0,171,44,29,0,Good,0.3179539759034861,"239,139,203,303,267"
239,Lincoln,NE,40.809,-96.6788,281743,140457,141232,6.3,82.2,3.3,0.3,3.6,0.0,29049.7,3713.3,14717.9,1727.0,1889.9,2312.9,153836,434.6,74.6,15.3,3.0,0.1,5111.5,2001.3,2849.1,845.6,1313.8,78.6,6.8,0.9,2.7,1.6,2.5,16.2,806,2020,291128,1115,5,323,166,621,8008,988,6566,454,0,31.34,Medium,244,237,7,0,0,0,0,74,45,32,0,0,171,44,29,0,Good,0.3179539759034861,"238,139,203,303,284"
262,Niagara Falls,NY,43.0921,-79.0147,64127,30342,33771,4.0,68.0,21.4,1.9,0.9,0.1,22824.3,4696.8,13237.1,2060.0,1002.6,1373.4,28409,348.3,82.4,13.5,3.4,0.0,936.0,1037.2,1039.5,255.4,476.5,79.3,6.4,2.8,5.4,2.8,1.8,18.5,982,2020,47900,431,2,32,101,296,1848,266,1471,111,25,47.58,High,275,234,39,0,2,0,0,155,54,38,1,4,217,1,52,0,Good,0.4897680604902847,"263,136,383,279,150"
263,Niagara Falls,NY,43.0921,-79.0147,64127,30342,33771,4.0,68.0,21.4,1.9,0.9,0.1,22824.3,4696.8,13237.1,2060.0,1002.6,1373.4,28409,348.3,82.4,13.5,3.4,0.0,936.0,1037.2,1039.5,255.4,476.5,79.3,6.4,2.8,5.4,2.8,1.8,18.5,982,2020,7958,4,0,0,2,2,212,9,194,9,1,27.14,Low,275,234,39,0,2,0,0,155,54,38,1,4,217,1,52,0,Good,0.4897680604902847,"262,136,383,266,279"
281,Springfield,OH,39.9297,-83.7957,97969,46687,51256,2.2,81.5,11.0,0.1,0.6,0.1,20031.5,3000.6,10734.2,1485.3,1289.4,1695.3,43734,560.1,78.5,11.4,5.4,0.1,1928.2,1319.2,1546.0,492.9,1376.2,76.6,9.4,1.1,2.9,1.1,3.6,20.4,841,2020,59128,292,3,14,124,151,2992,763,1978,251,49,55.54,High,274,224,49,1,0,0,0,108,58,40,0,0,183,22,69,0,Good,0.3231558392230117,"284,5,282,274,279"
282,Springfield,OH,39.9297,-83.7957,97969,46687,51256,2.2,81.5,11.0,0.1,0.6,0.1,20031.5,3000.6,10734.2,1485.3,1289.4,1695.3,43734,560.1,78.5,11.4,5.4,0.1,1928.2,1319.2,1546.0,492.9,1376.2,76.6,9.4,1.1,2.9,1.1,3.6,20.4,841,2020,36696,50,2,4,18,26,485,85,368,32,5,14.58,Low,274,224,49,1,0,0,0,108,58,40,0,0,183,22,69,0,Good,0.3231558392230117,"283,284,281,147,133"
283,Springfield,OH,39.9297,-83.7957,97969,46687,51256,2.2,81.5,11.0,0.1,0.6,0.1,20031.5,3000.6,10734.2,1485.3,1289.4,1695.3,43734,560.1,78.5,11.4,5.4,0.1,1928.2,1319.2,1546.0,492.9,1376.2,76.6,9.4,1.1,2.9,1.1,3.6,20.4,841,2020,6415,10,0,2,1,7,47,13,31,3,0,8.89,Low,274,224,49,1,0,0,0,108,58,40,0,0,183,22,69,0,Good,0.3231558392230117,"282,284,281,147,133"
284,Springfield,OH,39.9297,-83.7957,97969,46687,51256,2.2,81.5,11.0,0.1,0.6,0.1,20031.5,3000.6,10734.2,1485.3,1289.4,1695.3,43734,560.1,78.5,11.4,5.4,0.1,1928.2,1319.2,1546.0,492.9,1376.2,76.6,9.4,1.1,2.9,1.1,3.6,20.4,841,2020,14555,36,1,10,9,16,631,88,528,15,2,45.83,High,274,224,49,1,0,0,0,108,58,40,0,0,183,22,69,0,Good,0.3231558392230117,"281,282,5,283,285"
287,Warren,OH,41.239,-80.8174,74978,36291,38664,1.8,79.9,13.5,0.1,0.2,0.0,16460.7,2761.5,9516.5,1316.4,1265.6,2007.2,30323,396.0,82.5,9.6,4.0,0.1,1173.4,1005.1,1076.5,346.3,1018.3,87.8,5.3,0.4,0.7,0.2,2.6,20.8,734,2020,38012,212,5,35,68,104,1478,431,941,106,7,44.46,High,274,227,43,3,1,0,0,153,58,41,0,0,190,0,84,0,Good,0.34304897515237986,"288,279,228,285,284"
288,Warren,OH,41.239,-80.8174,74978,36291,38664,1.8,79.9,13.5,0.1,0.2,0.0,16460.7,2761.5,9516.5,1316.4,1265.6,2007.2,30323,396.0,82.5,9.6,4.0,0.1,1173.4,1005.1,1076.5,346.3,1018.3,87.8,5.3,0.4,0.7,0.2,2.6,20.8,734,2020,5169,24,0,0,0,24,83,27,51,5,2,20.7,Low,274,227,43,3,1,0,0,153,58,41,0,0,190,0,84,0,Good,0.34304897515237986,"287,279,282,283,228"
309,Lancaster,PA,40.0421,-76.3012,165058,80790,84248,20.1,66.7,7.0,0.1,3.3,0.0,32210.3,4896.4,16523.0,2144.6,857.5,1119.4,80771,355.0,87.1,7.3,4.4,0.1,1969.0,1000.0,1249.8,391.8,971.5,75.2,8.9,2.7,5.6,1.2,4.1,21.5,1090,2020,2683,1,0,0,0,1,2,2,0,0,0,1.12,Low,244,179,63,2,0,0,0,105,60,42,0,0,116,0,126,2,Good,0.5087229124484269,"310,302,92,130,405"
310,Lancaster,PA,40.0421,-76.3012,165058,80790,84248,20.1,66.7,7.0,0.1,3.3,0.0,32210.3,4896.4,16523.0,2144.6,857.5,1119.4,80771,355.0,87.1,7.3,4.4,0.1,1969.0,1000.0,1249.8,391.8,971.5,75.2,8.9,2.7,5.6,1.2,4.1,21.5,1090,2020,17176,21,1,2,3,15,343,16,299,28,0,21.19,Low,244,179,63,2,0,0,0,105,60,42,0,0,116,0,126,2,Good,0.5087229124484269,"309,302,92,80,194"
314,Warren,PA,41.8433,-79.1445,17459,8284,9174,1.0,97.2,0.3,0.0,0.7,0.0,30377.9,4408.7,18425.2,2220.1,88.4,155.1,8001,36.2,72.2,10.1,6.2,0.1,278.9,117.2,168.7,66.7,164.6,73.6,7.7,0.2,3.4,0.9,2.6,16.0,724,2020,9054,60,0,3,1,56,134,12,119,3,0,21.43,Low,242,241,1,0,0,0,0,65,23,9,0,0,0,242,0,0,Good,0.05506069549776582,"289,235,176,318,391"
315,Warren,PA,41.8433,-79.1445,17459,8284,9174,1.0,97.2,0.3,0.0,0.7,0.0,30377.9,4408.7,18425.2,2220.1,88.4,155.1,8001,36.2,72.2,10.1,6.2,0.1,278.9,117.2,168.7,66.7,164.6,73.6,7.7,0.2,3.4,0.9,2.6,16.0,724,2020,9054,60,0,3,1,56,134,12,119,3,0,21.43,Low,274,227,43,3,1,0,0,153,58,41,0,0,190,0,84,0,Good,0.05506069549776582,"303,155,147,308,280"
330,Franklin,TN,35.9216,-86.8525,101337,49176,52145,5.2,84.9,3.9,0.0,3.8,0.0,59025.5,7283.5,26828.2,3439.5,175.8,222.2,52321,107.6,80.3,9.7,9.4,0.1,1802.8,384.5,782.0,137.3,168.0,80.7,7.0,0.2,1.1,1.2,9.2,25.6,1293,2020,83517,138,0,15,10,113,926,58,814,54,3,12.74,Low,213,177,35,1,0,0,0,121,56,41,0,12,85,0,116,0,Good,0.2735324821386277,"331,100,105,87,96"
331,Franklin,TN,35.9216,-86.8525,101337,49176,52145,5.2,84.9,3.9,0.0,3.8,0.0,59025.5,7283.5,26828.2,3439.5,175.8,222.2,52321,107.6,80.3,9.7,9.4,0.1,1802.8,384.5,782.0,137.3,168.0,80.7,7.0,0.2,1.1,1.2,9.2,25.6,678,2020,83517,138,0,15,10,113,926,58,814,54,3,12.74,Low,213,177,35,1,0,0,0,121,56,41,0,12,85,0,116,0,Good,0.2735324821386277,"330,100,105,142,87"
332,Jackson,TN,35.6535,-88.8353,81915,38468,43436,2.6,53.0,40.2,0.1,1.0,0.0,28922.1,5021.2,15246.4,2519.5,720.4,1110.6,35946,270.8,80.7,11.9,5.3,0.3,885.1,665.0,767.5,216.3,544.6,85.8,6.2,1.3,1.0,2.6,2.5,18.0,897,2020,66915,650,17,30,97,506,2473,374,1904,195,15,46.67,High,176,172,3,1,0,0,0,108,35,22,0,0,0,0,176,0,Good,0.5567254179383254,"333,216,213,129,84"
333,Jackson,TN,35.6535,-88.8353,81915,38468,43436,2.6,53.0,40.2,0.1,1.0,0.0,28922.1,5021.2,15246.4,2519.5,720.4,1110.6,35946,270.8,80.7,11.9,5.3,0.3,885.1,665.0,767.5,216.3,544.6,85.8,6.2,1.3,1.0,2.6,2.5,18.0,663,2020,66915,650,17,30,97,506,2473,374,1904,195,15,46.67,High,176,172,3,1,0,0,0,108,35,22,0,0,0,0,176,0,Good,0.5567254179383254,"332,216,213,129,84"
